local_date,tmin,tmax,p0max,p0min,sshn,umax,umin
2005-03-21,4.6,16.6,869.2,868.2,10.9,65.0,22.0
2005-03-22,3.8,18.0,869.9,866.2,11.1,67.0,26.0
2005-03-23,10.4,17.4,865.3,861.2,3.5,73.0,20.0
2005-03-24,4.8,13.0,866.7,860.8,8.8,82.0,37.0
2005-03-25,-3.6,9.0,869.3,866.3,11.2,63.0,20.0
2005-03-26,-3.8,12.6,870.9,868.9,11.1,58.0,17.0
2005-03-27,-0.4,15.6,871.8,870.1,11.0,47.0,21.0
2005-03-28,1.6,17.4,873.4,871.3,10.0,56.0,25.0
2005-03-29,5.0,18.6,874.1,871.3,10.9,56.0,20.0
2005-03-30,6.2,21.6,871.5,868.0,10.2,48.0,20.0
2005-03-31,10.0,21.4,868.9,867.2,8.9,78.0,38.0
2005-04-01,9.4,24.2,869.1,867.0,11.4,78.0,16.0
2005-04-02,13.0,23.8,866.3,864.4,10.6,36.0,22.0
2005-04-03,10.0,20.2,869.1,865.1,10.4,64.0,21.0
2005-04-04,3.6,14.6,871.4,868.7,7.7,72.0,31.0
2005-04-05,1.0,14.6,871.8,870.5,11.4,71.0,23.0
2005-04-06,2.4,17.4,871.6,869.1,11.6,66.0,20.0
2005-04-07,6.2,17.0,869.4,867.5,10.5,58.0,20.0
2005-04-08,3.6,21.0,870.7,868.9,11.4,57.0,21.0
2005-04-09,7.6,22.8,870.5,867.7,4.4,47.0,18.0
2005-04-10,13.6,23.8,867.2,864.8,9.4,57.0,13.0
2005-04-11,9.8,23.2,868.7,865.8,10.3,54.0,27.0
2005-04-12,9.8,23.4,870.8,868.6,11.2,56.0,26.0
2005-04-13,9.0,24.4,872.3,870.4,10.7,58.0,20.0
2005-04-14,10.8,27.0,872.4,869.1,9.9,54.0,19.0
2005-04-15,14.8,21.2,868.5,866.6,0.0,77.0,25.0
2005-04-16,11.2,18.8,867.3,865.9,6.8,80.0,49.0
2005-04-17,7.0,19.2,870.1,866.8,11.8,86.0,24.0
2005-04-18,6.0,21.2,872.5,870.0,11.8,76.0,25.0
2005-04-19,8.4,23.4,872.5,870.6,9.2,60.0,19.0
2005-04-20,13.8,23.6,873.2,870.3,1.4,57.0,28.0
2005-04-21,11.8,25.4,874.8,872.1,10.0,59.0,20.0
2005-04-22,13.6,28.0,871.7,869.3,11.5,41.0,20.0
2005-04-23,14.0,30.6,869.6,868.0,11.8,50.0,18.0
2005-04-24,15.8,30.6,869.0,867.1,11.8,46.0,18.0
2005-04-25,15.8,29.0,867.8,865.4,10.7,57.0,18.0
2005-04-26,12.0,22.4,867.0,864.8,0.0,97.0,61.0
2005-04-27,9.4,18.2,868.2,866.1,8.0,95.0,54.0
2005-04-28,7.6,21.0,868.3,866.0,10.7,79.0,34.0
2005-04-29,11.2,23.6,865.5,863.2,10.6,75.0,26.0
